Sample,Cloud,Plate,COPE5.a,COPE5.b,COPE9.a,COPE9.b,COPE10.a,COPE10.b,CPER26.a,CPER26.b,CPER52.a,CPER52.b,CPER92.a,CPER92.b,CPER99.a,CPER99.b,CPER119.a,CPER119.b,CPER188.a,CPER188.b
08COPE-0127,COPE-M-08,P2,123,191,NA,NA,174,176,150,150,336,336,293,295,166,166,158,158,283,287
08COPE-0128,COPE-M-08,P2,199,259,158,174,NA,NA,150,150,NA,NA,293,297,166,168,158,164,267,287
08COPE-0129,COPE-M-08,P2,131,143,178,178,NA,NA,150,150,354,354,293,293,166,166,158,158,277,277
08COPE-0130,COPE-M-08,P2,135,327,170,178,226,262,150,152,NA,NA,293,293,166,166,160,162,287,287
08COPE-0131,COPE-M-08,P2,199,255,162,170,156,174,150,152,NA,NA,293,293,166,166,NA,NA,287,287
08COPE-0132,COPE-M-08,P2,131,131,NA,NA,NA,NA,152,154,NA,NA,293,293,166,166,176,176,287,289
08COPE-0133,COPE-M-08,P2,239,239,158,170,192,192,150,150,336,336,293,293,166,168,172,172,289,291
08COPE-0134,COPE-M-08,P2,131,163,174,174,168,168,148,152,216,284,293,299,166,166,158,158,287,291
08COPE-0135,COPE-M-08,P2,167,371,158,170,174,184,148,150,NA,NA,291,291,166,166,166,166,289,291
08COPE-0136,COPE-M-08,P2,111,111,174,174,176,176,154,158,324,324,293,295,164,170,158,162,287,289
08COPE-0137,COPE-M-08,P2,175,311,166,166,NA,NA,150,154,282,282,293,293,166,166,158,158,289,289
08COPE-0138,COPE-M-08,P2,111,111,150,150,NA,NA,156,158,282,282,NA,NA,168,168,154,160,287,287
08COPE-0139,COPE-M-08,P2,271,535,162,170,174,174,150,150,274,274,293,295,166,166,158,180,287,289
08COPE-0140,COPE-M-08,P2,111,115,162,166,186,188,154,160,NA,NA,287,293,164,164,NA,NA,287,287
08COPE-0141,COPE-M-08,P2,287,443,170,170,178,180,150,150,NA,NA,291,291,166,166,158,158,287,287
08COPE-0142,COPE-M-08,P2,203,219,170,174,NA,NA,150,150,296,296,293,293,166,166,158,158,287,287
08COPE-0143,COPE-M-08,P2,159,219,166,166,180,196,150,152,284,284,291,291,166,166,172,172,287,289
08COPE-0144,COPE-M-08,P2,235,235,158,158,NA,NA,152,164,NA,NA,NA,NA,168,168,158,162,287,287
08COPE-0145,COPE-M-08,P2,163,239,162,170,186,188,160,160,NA,NA,NA,NA,164,168,158,182,269,287
08COPE-0146,COPE-M-08,P2,135,135,158,170,NA,NA,150,150,280,284,NA,NA,166,170,160,160,287,289
08COPE-0147,COPE-M-08,P2,207,211,158,178,170,170,150,156,284,284,291,291,166,166,166,166,287,287
08COPE-0148,COPE-M-08,P2,131,235,170,174,196,252,150,152,284,284,293,293,166,166,172,172,287,287
08COPE-0149,COPE-M-08,P2,267,267,162,170,208,208,152,152,NA,NA,293,295,166,166,158,158,287,287
10COPE-0150,COPE-M-10,P2,251,339,166,170,192,192,150,160,264,284,293,293,166,166,170,170,287,289
10COPE-0151,COPE-M-10,P2,151,367,158,170,174,174,150,150,262,262,293,299,166,166,158,172,287,287
10COPE-0152,COPE-M-10,P2,195,219,170,170,166,168,150,156,284,284,291,299,166,170,NA,NA,287,287
10COPE-0153,COPE-M-10,P2,219,259,162,170,198,198,150,150,260,454,293,293,166,166,168,168,287,293
10COPE-0154,COPE-M-10,P2,203,295,158,162,170,172,150,150,284,284,293,293,166,166,160,160,287,291
10COPE-0155,COPE-M-10,P2,183,195,158,158,168,168,150,150,260,260,293,293,166,166,154,158,267,289
10COPE-0156,COPE-M-10,P2,111,115,174,174,170,192,152,154,NA,NA,NA,NA,168,168,160,160,287,287
10COPE-0157,COPE-M-10,P2,231,235,170,170,204,204,152,156,264,284,NA,NA,164,166,150,150,287,289
10COPE-0158,COPE-M-10,P2,227,227,162,174,186,186,150,152,284,284,293,293,166,166,158,162,287,287
10COPE-0159,COPE-M-10,P2,131,211,170,170,208,208,150,152,NA,NA,293,293,166,166,166,168,287,289
10COPE-0160,COPE-M-10,P2,131,331,166,170,200,200,146,150,284,284,291,291,166,166,156,156,287,301
10COPE-0161,COPE-M-10,P2,171,171,166,178,NA,NA,148,152,436,436,291,293,166,166,158,166,287,287
10COPE-0162,COPE-M-10,P2,111,111,170,178,NA,NA,158,158,260,260,NA,NA,168,170,176,176,287,289
10COPE-0163,COPE-M-10,P2,111,111,174,174,188,188,154,156,248,248,NA,NA,164,166,NA,NA,273,287
10COPE-0164,COPE-M-10,P2,275,287,166,166,252,252,150,152,284,284,293,301,166,170,160,160,287,287
10COPE-0165,COPE-M-10,P2,143,307,162,174,168,170,150,152,284,284,293,293,166,166,158,166,287,287
10COPE-0166,COPE-M-10,P2,131,163,174,174,186,210,150,150,NA,NA,293,293,166,166,NA,NA,287,301
10COPE-0167,COPE-M-10,P2,131,223,158,170,168,182,150,150,NA,NA,293,293,166,166,160,160,283,287
10COPE-0168,COPE-M-10,P2,211,227,170,170,252,252,150,150,NA,NA,293,295,166,166,164,166,287,293
10COPE-0169,COPE-M-10,P2,127,271,170,170,NA,NA,150,150,258,258,293,301,166,166,162,162,287,289
10COPE-0170,COPE-M-10,P2,255,423,158,170,NA,NA,150,150,284,284,291,291,166,166,166,176,287,287
