Sample,Cloud,Plate,COPE5.a,COPE5.b,COPE9.a,COPE9.b,COPE10.a,COPE10.b,CPER26.a,CPER26.b,CPER52.a,CPER52.b,CPER92.a,CPER92.b,CPER99.a,CPER99.b,CPER119.a,CPER119.b,CPER188.a,CPER188.b
20COPE-0298,COPE-M-20,P4,175,235,170,170,170,170,150,150,NA,NA,291,291,166,166,154,158,287,287
20COPE-0299,COPE-M-20,P4,323,371,170,170,256,256,150,150,NA,NA,291,295,166,166,156,156,289,291
20COPE-0300,COPE-M-20,P4,227,243,NA,NA,268,268,150,150,NA,NA,293,293,166,166,168,168,287,287
20COPE-0301,COPE-M-20,P4,135,203,170,170,178,240,152,152,NA,NA,291,291,166,166,NA,NA,287,287
20COPE-0302,COPE-M-20,P4,191,191,170,170,NA,NA,148,150,NA,NA,293,295,168,168,176,176,287,287
20COPE-0303,COPE-M-20,P4,155,155,170,182,166,166,150,150,260,260,293,293,166,166,158,158,287,287
20COPE-0304,COPE-M-20,P4,143,287,166,170,176,310,150,150,280,280,293,293,166,166,158,160,287,287
20COPE-0305,COPE-M-20,P4,235,403,NA,NA,178,178,150,156,NA,NA,293,293,166,166,164,164,287,287
20COPE-0306,COPE-M-20,P4,131,199,170,170,286,286,150,154,398,398,293,303,166,166,154,154,291,291
20COPE-0307,COPE-M-20,P4,111,111,170,170,198,198,154,154,NA,NA,NA,NA,164,168,NA,NA,287,287
20COPE-0308,COPE-M-20,P4,131,223,170,170,NA,NA,150,152,284,284,291,291,166,166,158,168,293,301
20COPE-0309,COPE-M-20,P4,211,299,170,174,202,220,154,154,NA,NA,NA,NA,164,168,182,184,287,287
20COPE-0310,COPE-M-20,P4,111,255,170,170,184,184,NA,NA,NA,NA,NA,NA,168,170,164,164,273,287
20COPE-0311,COPE-M-20,P4,139,219,170,170,168,168,150,152,NA,NA,293,293,166,168,174,174,279,291
20COPE-0312,COPE-M-20,P4,111,111,170,174,NA,NA,NA,NA,326,326,289,289,164,168,NA,NA,287,287
20COPE-0313,COPE-M-20,P4,199,259,170,170,NA,NA,150,154,NA,NA,293,293,166,166,156,156,287,291
20COPE-0314,COPE-M-20,P4,127,195,170,170,NA,NA,150,150,284,324,293,297,166,166,156,156,287,287
13COPE-0315,COPE-M-13,P4,199,199,170,170,220,220,150,150,284,284,293,293,166,166,158,168,287,287
13COPE-0316,COPE-M-13,P4,267,395,170,174,NA,NA,150,158,NA,NA,293,293,166,166,154,154,287,287
13COPE-0317,COPE-M-13,P4,103,111,170,170,NA,NA,154,156,238,238,NA,NA,168,168,174,174,287,287
13COPE-0318,COPE-M-13,P4,175,263,170,170,170,170,148,150,284,284,293,293,166,166,156,156,287,291
13COPE-0319,COPE-M-13,P4,143,267,162,170,174,244,148,152,260,260,293,297,166,166,168,168,283,287
13COPE-0320,COPE-M-13,P4,179,179,NA,NA,252,252,152,152,270,284,291,293,166,166,160,160,287,287
13COPE-0321,COPE-M-13,P4,139,247,166,170,264,264,150,154,NA,NA,293,293,166,166,NA,NA,287,291
13COPE-0322,COPE-M-13,P4,207,311,NA,NA,174,236,148,150,284,284,293,293,166,166,156,164,287,287
13COPE-0323,COPE-M-13,P4,191,255,162,170,204,208,150,154,284,284,285,293,166,166,156,164,287,291
13COPE-0324,COPE-M-13,P4,135,291,170,182,NA,NA,150,150,280,280,293,293,166,166,162,162,287,287
13COPE-0325,COPE-M-13,P4,227,227,NA,NA,170,170,150,150,NA,NA,293,293,166,168,164,164,287,289
13COPE-0326,COPE-M-13,P4,131,131,170,170,178,178,150,150,324,324,291,299,166,166,158,158,287,287
13COPE-0327,COPE-M-13,P4,151,195,166,170,184,184,NA,NA,NA,NA,291,291,166,166,184,184,289,293
13COPE-0328,COPE-M-13,P4,155,215,170,170,NA,NA,148,150,NA,NA,293,293,166,166,158,158,289,291
13COPE-0329,COPE-M-13,P4,139,199,NA,NA,170,220,NA,NA,280,280,293,293,166,166,160,160,287,287
13COPE-0330,COPE-M-13,P4,195,215,170,170,NA,NA,150,156,NA,NA,293,293,166,166,156,156,287,287
13COPE-0331,COPE-M-13,P4,203,231,170,170,NA,NA,150,150,NA,NA,293,293,166,166,166,166,287,287
13COPE-0332,COPE-M-13,P4,155,343,NA,NA,208,208,150,150,NA,NA,297,299,166,166,164,164,287,287
13COPE-0333,COPE-M-13,P4,195,203,166,170,NA,NA,152,158,NA,NA,291,295,166,166,152,176,287,287
13COPE-0334,COPE-M-13,P4,111,255,170,170,182,194,150,152,NA,NA,NA,NA,164,168,NA,NA,287,287
13COPE-0335,COPE-M-13,P4,139,307,170,170,170,170,150,152,NA,NA,293,293,166,166,162,162,287,287
13COPE-0336,COPE-M-13,P4,327,327,166,170,178,256,144,152,284,284,291,293,166,166,156,166,283,293
13COPE-0337,COPE-M-13,P4,111,271,NA,NA,270,270,152,158,236,236,NA,NA,168,168,144,144,287,287
13COPE-0338,COPE-M-13,P4,215,287,162,170,178,178,154,154,284,284,293,295,166,166,156,164,287,289
13COPE-0339,COPE-M-13,P4,191,191,166,170,190,190,150,150,260,284,293,295,166,166,172,172,287,289
13COPE-0340,COPE-M-13,P4,103,111,170,170,304,308,156,156,224,300,NA,NA,168,170,158,158,287,287
13COPE-0341,COPE-M-13,P4,143,195,170,174,174,174,150,152,216,216,293,293,166,166,168,168,285,293
13COPE-0342,COPE-M-13,P4,271,275,170,170,174,184,148,148,260,398,293,293,166,166,162,162,287,287
13COPE-0343,COPE-M-13,P4,131,135,170,174,162,170,150,150,NA,NA,293,299,166,166,154,156,287,293
13COPE-0344,COPE-M-13,P4,111,111,158,170,272,272,154,154,238,238,NA,NA,162,164,168,168,287,287
13COPE-0345,COPE-M-13,P4,147,235,166,170,238,292,152,152,220,256,293,293,166,166,158,168,283,283
13COPE-0346,COPE-M-13,P4,215,219,170,174,NA,NA,148,156,260,260,293,293,166,166,162,166,285,289
13COPE-0347,COPE-M-13,P4,123,135,166,170,162,162,148,152,NA,NA,293,295,166,166,158,164,281,289
13COPE-0348,COPE-M-13,P4,143,243,170,174,NA,NA,150,154,216,216,293,293,166,166,154,154,287,291
13COPE-0349,COPE-M-13,P4,163,199,162,170,178,178,148,148,NA,NA,293,293,166,166,162,164,287,289
13COPE-0350,COPE-M-13,P4,167,251,162,170,188,188,150,152,260,260,293,293,166,166,154,158,287,293
13COPE-0351,COPE-M-13,P4,267,371,170,186,174,174,150,150,260,434,293,293,166,166,156,156,287,287
13COPE-0352,COPE-M-13,P4,343,439,170,178,182,182,150,150,NA,NA,293,293,166,168,158,158,287,287
13COPE-0353,COPE-M-13,P4,171,171,162,170,232,232,150,150,NA,NA,277,293,166,166,164,164,287,287
13COPE-0354,COPE-M-13,P4,191,199,170,170,174,174,152,152,236,284,291,291,166,166,156,164,287,289
13COPE-0355,COPE-M-13,P4,227,267,170,174,168,168,150,150,284,284,293,293,166,166,172,172,287,289
13COPE-0356,COPE-M-13,P4,123,143,170,170,184,184,150,150,284,284,291,291,166,166,156,156,287,287
13COPE-0357,COPE-M-13,P4,211,307,170,170,162,162,150,152,280,280,293,293,166,166,162,168,287,289
13COPE-0358,COPE-M-13,P4,111,111,170,174,174,174,156,156,NA,NA,291,301,164,164,144,176,287,287
13COPE-0359,COPE-M-13,P4,159,207,NA,NA,186,186,150,150,348,348,293,293,166,166,158,174,287,287
13COPE-0360,COPE-M-13,P4,135,247,158,170,220,220,148,150,NA,NA,293,293,166,166,164,164,287,287
13COPE-0361,COPE-M-13,P4,207,207,170,174,168,172,148,148,296,296,291,297,166,166,154,158,287,291
13COPE-0362,COPE-M-13,P4,307,311,170,170,NA,NA,150,150,NA,NA,293,293,166,166,162,164,287,287
13COPE-0363,COPE-M-13,P4,195,207,166,170,212,212,150,150,NA,NA,293,293,166,168,NA,NA,285,285
13COPE-0364,COPE-M-13,P4,215,215,170,170,228,228,150,152,NA,NA,277,293,166,166,156,168,287,291
13COPE-0365,COPE-M-13,P4,127,135,170,170,218,218,154,154,280,410,293,293,166,166,164,168,287,291
13COPE-0366,COPE-M-13,P4,311,371,162,170,174,174,150,150,284,284,293,301,166,166,152,152,287,287
13COPE-0367,COPE-M-13,P4,111,111,NA,NA,NA,NA,152,158,NA,NA,291,291,164,164,168,168,287,287
13COPE-0368,COPE-M-13,P4,131,243,166,170,174,174,152,152,NA,NA,293,295,166,166,172,176,287,289
13COPE-0369,COPE-M-13,P4,211,295,170,174,NA,NA,150,152,NA,NA,293,293,166,166,166,166,287,287
13COPE-0370,COPE-M-13,P4,111,111,NA,NA,NA,NA,152,156,284,284,291,291,164,168,NA,NA,287,287
13COPE-0371,COPE-M-13,P4,135,315,170,170,186,186,150,154,304,304,293,293,166,166,166,166,287,287
13COPE-0372,COPE-M-13,P4,335,335,170,170,NA,NA,150,150,280,284,293,293,166,168,162,176,287,287
13COPE-0373,COPE-M-13,P4,131,131,166,170,202,202,150,152,284,284,291,291,166,166,NA,NA,291,293
13COPE-0374,COPE-M-13,P4,287,331,166,170,NA,NA,150,150,NA,NA,295,297,166,166,174,174,287,287
13COPE-0375,COPE-M-13,P4,147,255,158,170,182,182,NA,NA,NA,NA,293,293,166,166,168,168,287,291
13COPE-0376,COPE-M-13,P4,123,247,NA,NA,182,186,150,150,282,282,293,293,166,166,156,156,277,287
13COPE-0377,COPE-M-13,P4,103,263,170,170,NA,NA,152,152,NA,NA,291,291,168,168,156,158,273,287
13COPE-0378,COPE-M-13,P4,227,323,166,170,186,186,150,152,NA,NA,293,293,166,166,164,164,287,287
13COPE-0379,COPE-M-13,P4,263,271,170,186,NA,NA,148,152,NA,NA,293,293,166,166,158,158,287,287
13COPE-0380,COPE-M-13,P4,111,111,170,182,NA,NA,NA,NA,362,362,NA,NA,164,164,154,154,287,287
13COPE-0381,COPE-M-13,P4,235,315,170,186,212,212,148,152,NA,NA,291,295,166,166,164,164,287,287
04COPE-0382,COPE-M-04,P4,291,295,162,170,272,272,150,150,NA,NA,293,293,166,166,158,158,287,287
04COPE-0383,COPE-M-04,P4,255,255,170,170,182,182,152,156,NA,NA,285,293,166,166,168,168,287,287
04COPE-0384,COPE-M-04,P4,131,135,162,170,NA,NA,150,150,280,280,293,295,166,166,164,170,287,291
